scan_file,collection_date,comparison,isotope,tof_gate_lo_us,tof_gate_hi_us,median_wn_cm
scan_20260505_194044.csv,2026-05-05,34S-32S,32S,4.25,5.5,12625.19297
scan_20260505_194747.csv,2026-05-05,34S-32S,34S,5.1,5.8,12624.89260
scan_20260506_152634.csv,2026-05-06,34S-32S,32S,4.25,5.5,12625.19323
scan_20260506_154426.csv,2026-05-06,34S-32S,34S,5.1,5.8,12624.89229
scan_20260508_131731.csv,2026-05-08,34S-32S,32S,4.25,5.5,12625.19375
scan_20260508_134603.csv,2026-05-08,34S-32S,34S,5.1,5.8,12624.89256
scan_20260508_140738.csv,2026-05-08,34S-32S,32S,4.25,5.5,12625.19378
scan_20260508_153504.csv,2026-05-08,34S-32S,32S,4.25,5.5,12625.19349
scan_20260508_155825.csv,2026-05-08,34S-32S,34S,5.1,5.8,12624.89256
scan_20260511_083642.csv,2026-05-11,36S-32S,32S,4.25,5.25,12625.19368
scan_20260511_091902.csv,2026-05-11,36S-32S,36S,4.95,5.25,12624.61802
scan_20260512_144505.csv,2026-05-12,34S-32S,32S,4.25,5.25,12625.19338
scan_20260512_155458.csv,2026-05-12,34S-32S,34S,4.7,5.4,12624.89257
scan_20260513_102135.csv,2026-05-13,34S-32S,32S,4.25,5.25,12625.19278
scan_20260513_110715.csv,2026-05-13,34S-32S,34S,4.7,5.4,12624.89274
scan_20260601_120201.csv,2026-06-01,34S-32S,32S,4.25,5.5,12625.19226
scan_20260601_125135.csv,2026-06-01,34S-32S,34S,5.1,5.8,12624.89249
scan_20260601_144018.csv,2026-06-01,34S-32S,32S,4.25,5.5,12625.19259
scan_20260601_151739.csv,2026-06-01,34S-32S,34S,4.8,5.6,12624.89244
